"","STUWVAK","NAAM","CODE_OVERSTORT","TYPERGD","geometry"
"8","211I_211H","Leijgraaf","BER-VOR-KER-22","Gemengd gerioleerdgebied","167063.192000002,407593.289000001,0"
"2","211C_211B","Leijgraaf","BER-HDI-KOM-24","Gemengd gerioleerdgebied","160348.853,407619.271000002,0"
"3","211D_211C","Leijgraaf","BER-HDI-KOM-24","Gemengd gerioleerdgebied","160348.853,407619.271000002,0"
"4","211E_211D","Leijgraaf","BER-HDI-KOM-24","Gemengd gerioleerdgebied","160348.853,407619.271000002,0"
"9","211J_211I","Leijgraaf","UDE-UDE-CEN-9","Gemengd gerioleerdgebied","170060.66,406875.765999999,0"
"10","211K_211J","Leijgraaf","UDE-UDE-CEN-9","Gemengd gerioleerdgebied","170060.66,406875.765999999,0"
"3.1","211D_211C","Leijgraaf","BER-HDI-KOM-26","Gemengd gerioleerdgebied","160842.006999999,407487.276999999,0"
"4.1","211E_211D","Leijgraaf","BER-HDI-KOM-26","Gemengd gerioleerdgebied","160842.006999999,407487.276999999,0"
"6","211G_211F","Leijgraaf","BER-VOR-KER-21","Gemengd gerioleerdgebied","165998.201000001,406936.381000001,0"
"7","211H_211G","Leijgraaf","BER-VOR-KER-21","Gemengd gerioleerdgebied","165998.201000001,406936.381000001,0"
"8.1","211I_211H","Leijgraaf","BER-VOR-KER-21","Gemengd gerioleerdgebied","165998.201000001,406936.381000001,0"
"5","211F_211E","Leijgraaf","BER-HDI-KOM-27","Gemengd gerioleerdgebied","162052.118999999,407208.811000001,0"
"3.2","211D_211C","Leijgraaf","BER-HDI-HEI-32","Verbeterd gescheiden stelsel","161221.848999999,407475.109000001,0"
"4.2","211E_211D","Leijgraaf","BER-HDI-HEI-32","Verbeterd gescheiden stelsel","161221.848999999,407475.109000001,0"
"5.1","211F_211E","Leijgraaf","BER-HDI-HEI-32","Verbeterd gescheiden stelsel","161221.848999999,407475.109000001,0"
"10.1","211K_211J","Leijgraaf","UDE-UDE-HND-24","Verbeterd gescheiden stelsel","171012,405723,0"
"3.3","211D_211C","Leijgraaf","BER-HDI-MEE-30","Gemengd gerioleerdgebied","161012.342999998,407719.765000001,0"
"4.3","211E_211D","Leijgraaf","BER-HDI-MEE-30","Gemengd gerioleerdgebied","161012.342999998,407719.765000001,0"
"5.2","211F_211E","Leijgraaf","BER-HDI-MEE-30","Gemengd gerioleerdgebied","161012.342999998,407719.765000001,0"
"3.4","211D_211C","Leijgraaf","BER-HDI-KOM-23","Gemengd gerioleerdgebied","160381.030000001,407232.27,0"
"4.4","211E_211D","Leijgraaf","BER-HDI-KOM-23","Gemengd gerioleerdgebied","160381.030000001,407232.27,0"
"4.5","211E_211D","Leijgraaf","BER-HDI-HEI-31","Verbeterd gescheiden stelsel","161682.625,407396.664000001,0"
"5.3","211F_211E","Leijgraaf","BER-HDI-HEI-31","Verbeterd gescheiden stelsel","161682.625,407396.664000001,0"
